item_id,count,pick_rate,spread,wins,win_rate,tags,name,full_item,total_gold,count_unmasked,wr_unmasked,wr_std_unmasked
1413,106,0.01145945945945946,22,45.0,0.4245283018867925,[],Enchantment: Cinderhulk,True,2500.0,94.0,0.4148936170212766,0.05081850303591672
1414,59,0.006378378378378379,14,32.0,0.5423728813559322,[],Enchantment: Runic Echoes,True,2625.0,59.0,0.5423728813559322,0.06486028516711329
1416,65,0.007027027027027027,9,33.0,0.5076923076923077,[],Enchantment: Bloodrazor,True,2625.0,65.0,0.5076923076923077,0.062010027526865096
1419,142,0.015351351351351353,15,76.0,0.5352112676056338,[],Enchantment: Bloodrazor,True,2625.0,136.0,0.5367647058823529,0.042758586719458716
2003,226,0.024432432432432438,83,80.0,0.3539823008849557,"[Consumable, Jungle, Lane]",Health Potion,True,50.0,176.0,0.3125,0.034938562148434216
2004,5,0.0005405405405405405,3,3.0,0.6,"[Consumable, Lane]",Mana Potion,True,30.0,5.0,0.6,0.21908902300206645
2010,52,0.005621621621621622,27,18.0,0.3461538461538461,[],Total Biscuit of Everlasting Will,True,75.0,42.0,0.30952380952380953,0.07133402662018651
2011,1,0.00010810810810810812,1,0.0,0.0,"[Consumable, Lane, Jungle]",Elixir Of Skill,True,0.0,1.0,0.0,0.0
2013,4,0.00043243243243243243,3,1.0,0.25,,,,,4.0,0.25,0.21650635094610965
2015,53,0.00572972972972973,15,23.0,0.4339622641509434,"[AttackSpeed, OnHit]",Kircheis Shard,False,800.0,53.0,0.4339622641509434,0.06807861956839538
2031,1227,0.13264864864864864,135,555.0,0.452322738386308,"[HealthRegen, Consumable, Active, Lane, Jungle]",Refillable Potion,False,150.0,627.0,0.40669856459330145,0.01961734586059272
2032,45,0.004864864864864865,27,21.0,0.4666666666666667,"[HealthRegen, ManaRegen, Consumable, Active, Jungle]",Hunter's Potion,True,400.0,43.0,0.46511627906976744,0.07606348725472868
2033,753,0.0814054054054054,79,365.0,0.4847277556440903,"[Active, Consumable, HealthRegen, Lane, ManaRegen]",Corrupting Potion,True,500.0,461.0,0.4750542299349241,0.023258320581245776
2045,8,0.0008648648648648649,7,3.0,0.375,,,,,6.0,0.3333333333333333,0.19245008972987526
2049,28,0.003027027027027027,17,13.0,0.4642857142857143,,,,,18.0,0.4444444444444444,0.11712139482105108
2053,45,0.004864864864864865,21,27.0,0.6,"[Armor, HealthRegen, NonbootsMovement]",Raptor Cloak,False,900.0,45.0,0.6,0.07302967433402215
2055,917,0.09913513513513514,125,434.0,0.4732824427480916,"[Consumable, Lane, Stealth, Vision]",Control Ward,True,75.0,587.0,0.45826235093696766,0.020565181564016717
2056,8,0.0008648648648648649,4,4.0,0.5,"[Consumable, Lane, Vision]",Pilfered Stealth Ward,True,60.0,8.0,0.5,0.1767766952966369
2057,6,0.0006486486486486486,2,1.0,0.16666666666666666,"[Vision, Active]",Peering Farsight Ward,True,60.0,6.0,0.16666666666666666,0.15214515486254615
2058,3,0.0003243243243243243,2,1.0,0.3333333333333333,"[Health, Consumable, NonbootsMovement, Tenacity]",Travel Size Elixir of Iron,True,80.0,3.0,0.3333333333333333,0.2721655269759087
2059,5,0.0005405405405405405,2,1.0,0.2,"[Consumable, ManaRegen, SpellDamage]",Travel Size Elixir of Sorcery,True,80.0,5.0,0.2,0.1788854381999832
2060,2,0.00021621621621621621,2,1.0,0.5,"[Consumable, Damage, LifeSteal, SpellVamp]",Travel Size Elixir of Wrath,True,80.0,2.0,0.5,0.3535533905932738
2062,2,0.00021621621621621621,2,1.0,0.5,"[Consumable, Jungle, Lane]",Pilfered Potion of Rouge,True,80.0,2.0,0.5,0.3535533905932738
2065,32,0.0034594594594594594,17,19.0,0.59375,"[Health, SpellDamage, ManaRegen, Active, CooldownReduction, NonbootsMovement]",Shurelya's Reverie,True,2250.0,32.0,0.59375,0.08682074519880027
2138,1,0.00010810810810810812,1,0.0,0.0,"[Health, Consumable, NonbootsMovement, Tenacity]",Elixir of Iron,True,500.0,1.0,0.0,0.0
2139,4,0.00043243243243243243,4,1.0,0.25,"[Consumable, ManaRegen, SpellDamage]",Elixir of Sorcery,True,500.0,4.0,0.25,0.21650635094610965
2140,6,0.0006486486486486486,6,4.0,0.6666666666666666,"[Consumable, Damage, LifeSteal, SpellVamp]",Elixir of Wrath,True,500.0,6.0,0.6666666666666666,0.19245008972987526
